Group,Sl_No,Name_of_Lab,State,Status,OSL_Code,Recognition_Valid_Upto,Remarks
GROUP-1,1,"AES Laboratories (P) Ltd, Noida",U.P.,Private,8117716,14.02.2027,
GROUP-1,2,"Alpha Test House Private Limited, New Delhi",Delhi,Private,8131026,17.05.2027,Suspension revoked w.e.f. 17-11-2017. Suspended w.e.f. 22 May 2017. Suspension revoked w.e.f. 30-01-2017. (Present status operative) Suspended w.e.f. 16 Nov 2016. Suspension revoked w.e.f. 29 Feb 2016. (Present status operative) Suspended w.e.f. 21 Jan 2016.
GROUP-1,3,"Anacon Laboratories Pvt Ltd, Nagpur",Maharashtra,Private,7124116,15.12.2026,Suspension revoked w.e.f. 23-08-2024 (Present status operative) Suspended w.e.f. 05- 04-2024. Suspension revoked w.e.f. 07-08-2020 (Present status operative) SUSPENDED W.E.F. 31-01-2020 Suspension revoked w.e.f. 05-11-2019.. (Present status operative) Suspended for three months w.e.f. 25-09- 2019. Suspension revoked w.e.f. 09-04-2018. Suspension Cum Deferrment of Renewal of recognition w.e.f. 16- 12-2017 Suspension revoked w.e.f. 21 July 2015. (Present status operative) Suspended w.e.f. 6 July 2015.
GROUP-1,4,"Arbro Pharmaceutical Private Ltd, New Delhi",Delhi,Private,8116816,14.01.2029,Suspension revoked w.e.f. 08-01-2025. (Present status operative) Suspended w.e.f. 06- 12-2024
GROUP-1,5,"Ashwamedh Engineers & Consultants, Nasik",Maharashtra,Private,7130916,13.05.2027,
GROUP-1,6,"Automotive Research Association of India (ARAI), Pune",Maharashtra,Govt.,7106935,11.01.2028,Suspension revoked w.e.f. 07-07-2023. (Present status operative) Suspended w.e.f. 31- 05-2023
GROUP-1,7,"AVON food Lab, Delhi",Delhi,Private,8117816,19.02.2027,Suspension revoked w.e.f 14-12-2022. (Present status operative) Suspended w.e.f. 28- 03-2022 Suspension revoked w.e.f 17-01-2017. Suspended w.e.f. 27- 10-2016.
GROUP-1,8,Atharva Laboratories. Noida,U.P.,Private,8134206,21.07.2028,Suspension revoked w.e.f. 09-03-2026. (Present status operative) SUSPENDED W.E.F. 19-12-2025 Suspension revoked w.e.f. 22-09-2023. (Present status operative) SUSPENDED W.E.F. 01-08-2023 Suspension revoked w.e.f. 01-02-2022. (Present status operative) SUSPENDED W.E.F. 28-12-2021
GROUP-1,9,"Alpha Test House Services LLP, Mohali",Pubjab,Private,9138706,31-12-2026,Suspension revoked w.e.f. 27-05-2026. Suspended w.e.f. 23.04.2026
GROUP-1,10,"Aforeserve Labs Private Limited, Gurgaon",Haryana,Private,9140626,06.06.2027,Suspension revoked w.e.f. 08-12-2023. (Present status operative) Suspended w.e.f. 19.10.2023
