Section,ID,Category,Question,Answer,Field_Name,Item_No,Field_Value
dataset_metadata,,,,,dataset_name,1,BIS Application and Licensing Information
dataset_metadata,,,,,source_organization,1,Bureau of Indian Standards (BIS)
dataset_metadata,,,,,source_type,1,Official BIS
dataset_metadata,,,,,last_verified,1,2026-09-22
dataset_metadata,,,,,source_urls,1,https://www.bis.gov.in/ apply-for-a- license/?lang=en
dataset_metadata,,,,,dataset_name,2,BIS Application and Licensing Information
dataset_metadata,,,,,source_organization,2,Bureau of Indian Standards (BIS)
dataset_metadata,,,,,source_type,2,Official BIS
dataset_metadata,,,,,last_verified,2,2026-09-22
dataset_metadata,,,,,source_urls,2,https://www.bis.gov.in/ product- certification/product-ce rtification- process/?lang=en
dataset_metadata,,,,,dataset_name,3,BIS Application and Licensing Information
dataset_metadata,,,,,source_organization,3,Bureau of Indian Standards (BIS)
dataset_metadata,,,,,source_type,3,Official BIS
dataset_metadata,,,,,last_verified,3,2026-09-22
dataset_metadata,,,,,source_urls,3,https://www.bis.gov.in/ product- certification/product-ce rtification-faq/?lang=en
dataset_metadata,,,,,dataset_name,4,BIS Application and Licensing Information
dataset_metadata,,,,,source_organization,4,Bureau of Indian Standards (BIS)
dataset_metadata,,,,,source_type,4,Official BIS
dataset_metadata,,,,,last_verified,4,2026-09-22
dataset_metadata,,,,,source_urls,4,https://www.bis.gov.in/ apply-for-renewal-of- license/?lang=en
dataset_metadata,,,,,dataset_name,5,BIS Application and Licensing Information
dataset_metadata,,,,,source_organization,5,Bureau of Indian Standards (BIS)
dataset_metadata,,,,,source_type,5,Official BIS
dataset_metadata,,,,,last_verified,5,2026-09-22
dataset_metadata,,,,,source_urls,5,https://www.bis.gov.in/ product- certification/product-ce rtification-fee/?lang=en
licensing_information,,,,,licensing_information,1,"{'id': 'BIS-LIC-007', 'category': 'Infrastructure', 'question': 'What infrastructure is required for BIS certification?', 'answer': 'The manufacturer should analyse and document the..."
licensing_information,,,,,licensing_information,2,"{'id': 'BIS-LIC-008', 'category': 'Product Manual', 'question': 'Where can I find product- specific BIS requirements?', 'answer': 'BIS provides product-specific technical manuals...."
licensing_information,,,,,licensing_information,3,"{'id': 'BIS-LIC-009', 'category': 'Cost', 'question': 'How much does BIS certification cost?', 'answer': 'The total cost depends on the product, certification procedure, inspection..."
licensing_information,,,,,licensing_information,4,"{'id': 'BIS-LIC-010', 'category': 'Marking Fee', 'question': 'What is BIS marking fee?', 'answer': 'A product-specific marking fee is applicable under the relevant BIS certification scheme. BIS..."
licensing_information,,,,,licensing_information,5,"{'id': 'BIS-LIC-011', 'category': 'Application Fee', 'question': 'What is the BIS application fee?', 'answer': 'For BIS product certification, the FAQ currently states an application fee of..."
licensing_information,,,,,licensing_information,6,"{'id': 'BIS-LIC-012', 'category': 'Inspection Fee', 'question': 'What is the BIS inspection fee?', 'answer': 'The BIS product certification FAQ states an inspection fee of n7,000 per man-day..."
licensing_information,,,,,licensing_information,7,"{'id': 'BIS-LIC-013', 'category': 'Annual Licence Fee', 'question': 'What is the annual BIS licence fee?', 'answer': 'The BIS product certification FAQ states an annual licence fee of n1,000, in..."
licensing_information,,,,,licensing_information,8,"{'id': 'BIS-LIC-014', 'category': 'Timeline', 'question': 'How long does BIS certification take?', 'answer': 'BIS states that the average time for grant of licence under Option 2 is..."
licensing_information,,,,,licensing_information,9,"{'id': 'BIS-LIC-015', 'category': 'Licence Validity', 'question': 'How long is a BIS product certification licence valid?', 'answer': 'BIS states that Scheme-I certification may initially..."
licensing_information,,,,,licensing_information,10,"{'id': 'BIS-LIC-016', 'category': 'Renewal', 'question': 'How do I renew my BIS licence?', 'answer': 'Renewal is requested online through the Manakonline portal. The renewal application,..."
licensing_information,,,,,licensing_information,11,"{'id': 'BIS-LIC-017', 'category': 'Renewal', 'question': 'For how many years can I apply for BIS licence renewal?', 'answer': 'BIS states that renewal can be applied for a minimum period of one..."
licensing_information,,,,,licensing_information,12,"{'id': 'BIS-LIC-018', 'category': 'Renewal Documents', 'question': 'What information is required for BIS licence renewal?', 'answer': 'The renewal process requires the applicable renewal..."
licensing_information,,,,,licensing_information,13,"{'id': 'BIS-LIC-019', 'category': 'Renewal', 'question': 'What happens if I apply for renewal after the licence expires?', 'answer': 'BIS provisions can result in deferment of renewal when..."
licensing_information,,,,,licensing_information,14,"{'id': 'BIS-LIC-020', 'category': 'Change of Scope', 'question': 'Can I change the scope of my BIS licence?', 'answer': 'Yes. Licensees can apply for a change in the existing scope of their..."
licensing_information,,,,,licensing_information,15,"{'id': 'BIS-LIC-021', 'category': 'Non- Conformity', 'question': 'What happens if the product does not conform to the BIS standard?', 'answer': 'The BIS certification process includes..."
licensing_information,,,,,licensing_information,16,"{'id': 'BIS-LIC-022', 'category': 'Licence Conditions', 'question': 'What are the conditions for using the BIS Standard Mark?', 'answer': 'The conditions for using or applying the BIS Standard..."
licensing_information,,,,,licensing_information,17,"{'id': 'BIS-LIC-023', 'category': 'Non- Compliance', 'question': 'What happens if a BIS licence condition is violated?', 'answer': 'BIS states that a licence may be cancelled in..."
licensing_information,,,,,licensing_information,18,"{'id': 'BIS-LIC-024', 'category': 'Online Application', 'question': 'Are BIS licence applications submitted online?', 'answer': 'Yes. BIS states that applications for product..."
licensing_information,,,,,licensing_information,19,"{'id': 'BIS-LIC-025', 'category': 'Applicant Checklist', 'question': 'What should a manufacturer prepare before applying for BIS certification?', 'answer': 'The manufacturer..."
licensing_information,,,,,licensing_information,20,"{'id': 'BIS-LIC-026', 'category': 'Chatbot Intent', 'question_examples': ['How do I apply for BIS licence?', 'How can I get BIS certification?', 'What is the BIS certification process?', 'Where..."
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,1,Identify the applicable Indian Standard for the product.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,2,Study the requirements of the applicable Indian Standard.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,3,Analyse the required manufacturing infrastructure.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,4,Establish appropriate process controls.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,5,Establish quality-control and testing capabilities.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,6,Refer to the applicable BIS product manual and technical requirements.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,7,Submit the application online through the Manakonline portal.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,8,Pay the applicable fees online.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,9,Undergo BIS assessment of the manufacturing premises and related capabilities.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,10,Establish conformity of the product through applicable testing.
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,steps,11,"After successful assessment and conformity evaluation, BIS may grant the licence."
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,application_mode,1,Online
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,portal,1,https://www.manakonline.in/
licensing_information,BIS-LIC-001,Application,How do I apply for BIS licence?,BIS product certification applications are submitted online through the Manakonline portal. The process begins by identifying the applicable Indian Standard for the product.,official_source,1,https://www.bis.gov.in/apply-for-a- license/?lang=en
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,1,Product name
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,2,Applicable Indian Standard number
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,3,Manufacturing location
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,4,Manufacturing infrastructure
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,5,Process controls
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,6,Quality-control system
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,7,Testing facilities
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",required_information,8,Applicable product-specific requirements
licensing_information,BIS-LIC-002,First Step,What should I do before applying for BIS certification?,"First identify the Indian Standard applicable to the product. The manufacturer should then understand the standard requirements and analyse the required manufacturing infrastructure, process...",official_source,1,https://www.bis.gov.in/apply-for-a- license/?lang=en
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,1,"{'step': 1, 'name': 'Identify Indian Standard', 'description': 'Find the Indian Standard applicable to the product.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,2,"{'step': 2, 'name': 'Study requirements', 'description': 'Understand product requirements and applicable BIS technical documentation.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,3,"{'step': 3, 'name': 'Prepare manufacturing infrastructure', 'description': 'Ensure that the required manufacturing infrastructure is available.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,4,"{'step': 4, 'name': 'Prepare process controls', 'description': 'Establish appropriate process controls for manufacturing.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,5,"{'step': 5, 'name': 'Prepare quality and testing capabilities', 'description': 'Establish required quality-control and testing capabilities.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,6,"{'step': 6, 'name': 'Submit application', 'description': 'Submit the application online through Manakonline.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,7,"{'step': 7, 'name': 'BIS assessment', 'description': 'BIS assesses manufacturing infrastructure, process controls, quality-control and testing capabilities.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,8,"{'step': 8, 'name': 'Product conformity testing', 'description': 'Product conformity is established through applicable laboratory or manufacturing- premises testing.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",steps,9,"{'step': 9, 'name': 'Licence decision', 'description': 'BIS takes a decision on grant of the licence after the applicable requirements are satisfied.'}"
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,1,1
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,1,Identify Indian Standard
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,1,Find the Indian Standard applicable to the product.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,2,2
