is_number,title,year,category,status,certification_type,ics_code,boundary,description,clause_1_ref,clause_1_content,clause_1_page,clause_2_ref,clause_2_content,clause_2_page,clause_3_ref,clause_3_content,clause_3_page,revision_year,amendment,revision_summary,revision_effective
"IS 302-2-1","Safety of Household and Similar Electrical Appliances - Part 2: Particular Requirements - Section 1: Electric Water Heaters",2009,"Electrical Appliances",active,mandatory,"13.120","Electric storage and instant water heaters up to 315 litres capacity and rated voltage not exceeding 250V","Requirements covering construction, heating, safety and marking for electric water heaters","2","Scope: This standard covers electric water heaters, including instantaneous and storage types, with capacity up to 315 litres.",3,"3","General requirements: appliances shall be so designed as to prevent risk of electrical shock, fire and mechanical injury during normal use.",4,"4","Marking: each appliance shall be marked with the IS number, rated voltage, wattage, capacity and manufacturer details.",5,2024,"Amd.1","Marking and leakage-current limits updated",2024-03-01
"IS 302-2-3","Safety of Household Appliances - Part 2 - Section 3: Electric Kettles and Similar Appliances",2008,"Electrical Appliances",active,voluntary,"13.120","Electric kettles, coffee makers and similar water-heating utensils","Safety requirements and test methods for electric kettles and similar appliances","1","Scope: covers electric kettles, jugs and similar appliances for heating liquids.",2,"2","Definitions apply in line with IS 302-1.",3,"3","General: appliances must comply with the requirements for heating elements and thermal protection.",4,2022,"Amd.2","Thermal cut-out requirements tightened",2022-01-15
"IS 302-2-6","Safety of Household Appliances - Part 2 - Section 6: Electric Ranges, Ovens and Cooking Ranges",2009,"Electrical Appliances",active,mandatory,"13.120","Electric ranges, ovens, grills and similar cooking appliances","Safety requirements for electric cooking appliances","2","Scope: covers electrically operated cooking appliances for household use.",2,"3","Construction: materials and finishes shall resist corrosion.",3,"4","Marking: connection diagrams and ratings shall be legible.",4,2021,"","",2021-06-01
"IS 1786","High Strength Deformed Steel Bars and Wires for Concrete Reinforcement",2008,"Construction Materials",active,mandatory,"77.140.60","High strength deformed bars and wires used in reinforced concrete","Specification for Fe 415, Fe 500, Fe 550 grades of TMT bars","3","Scope: applies to high strength deformed steel bars and wires for concrete reinforcement.",2,"4","Material: chemical composition limits for carbon, sulphur and phosphorus.",3,"5","Mechanical properties: 0.2% proof stress and elongation requirements per grade.",4,2022,"","supersedes IS 1786:1985",2022-01-01
"IS 269","Ordinary Portland Cement - 33 Grade",2015,"Cement",active,mandatory,"91.100.10","Ordinary Portland Cement (OPC) 33 grade for general construction","Composition, physical and chemical requirements of OPC 33 grade","5","Scope: covers production, sampling and testing of OPC 33 grade cement.",2,"6","Chemical requirements: limits on magnesia, sulphur trioxide and loss on ignition.",3,"7","Physical requirements: fineness, setting time, soundness and compressive strength.",4,2024,"Amd.1","Strength testing frequency updated",2024-05-01
"IS 10392","Safety of Household Electrical Appliances - Part 1: General Requirements",2009,"Electrical Appliances",active,voluntary,"13.120","General requirements for the safety of household electrical appliances","Framework standard defining general safety clauses for all IS 302 appliance standards","4","Scope: general safety principles for household appliances.",3,"5","Protection against electric shock at normal temperature.",4,"6","Heating based on rated voltages and ambient conditions.",5,2020,"Amd.5","Updated to align with latest IEC 60335-1",2020-09-01
"IS 4151","Bicycle Tyres and Tubes",2015,"Automotive",active,voluntary,"83.160.10","Tubed and tubeless cycle tyres","Specification for pneumatic bicycle tyres and inner tubes","2","Scope: covers bicycle tyres for rim sizes 400-700 mm.",3,"3","Materials: rubber compound requirements.",4,"6","Marking: size designation and pressure rating visibility.",5,2015,"","",2015-01-01
"IS 16090","LED (Light Emitting Diode) / LED Module based Lamps and Luminaires",2018,"Lighting",active,mandatory,"29.140","LED lamps for general lighting under the CRS scheme","Quality requirements for self-ballasted LED lamps and luminaires","1","Scope: covers self-ballasted LED lamps with ratings up to 250 V.",2,"4","Performance: lumen output, power factor and colour rendering requirements.",3,"5","Marking: IS number, wattage, luminous flux and manufacturer details on the lamp.",4,2023,"Amd.2","Power factor minimum raised to 0.9",2023-04-01
"IS 694","PVC Insulated Cables for Working Voltages up to and including 1100 V",2010,"Electrical Cables",active,mandatory,"29.060.20","PVC insulated cables, sheathed and unsheathed, single and multicore","Specification for PVC insulated cables for household and industrial wiring","2","Scope: covers PVC insulated cables used in power and lighting circuits.",3,"3","Conductors: copper or aluminium conductor requirements.",4,"5","Insulation: PVC insulation thickness and electrical strength.",5,2021,"","",2021-03-01
"IS 4151:2015","Protective Helmets for Road Users - Specification",2015,"Safety Equipment",active,mandatory,"13.340.20","Protective helmets for two-wheeler riders","Safety helmets for use by motorised two-wheeler riders","4","Scope: covers protective helmets worn by motorcyclists and scooter riders.",2,"5","Materials: shell, liner, retention system requirements.",3,"6","Performance: impact attenuation, penetration resistance and strap strength tests.",4,2022,"Amd.1","Mandatory BIS certification enforced from notification date",2022-01-10
"IS 1478","Domestic Electric Washing Machines",2008,"Electrical Appliances",active,mandatory,"97.060","Electric washing machines for household use","Requirements for automatic and semi-automatic domestic washing machines","2","Scope: covers electrically operated clothes washing machines.",3,"3","Performance: washing performance, rinsing and moisture retention requirements.",4,"4","Safety and marking requirements per IS 302-1.",5,2019,"Amd.3","Energy labelling introduced",2019-07-01
"IS 12200","UG Fuel Tanks for Fixed Diesel Engines",2008,"Automotive",active,voluntary,"43.060","Fuel tanks for diesel engines used in tractors and other agricultural machinery","Specification for fuel tanks with steel construction and quality requirements","2","Scope: covers fuel tanks for fixed diesel engines.",3,"3","Material: zinc-coated steel sheet requirements.",4,"4","Testing: drop test and pressure test requirements.",5,2008,"","",2008-01-01
